op,variant,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,dtype,backend,device,iters,avg_ms,std_ms,timestamp
ADD,elemwise,"a{1024,4,1,1}; b{1024,4,1,1}","{1024,4,1,1}",1024,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,1.093,0.109,2025-10-23T07:43:22Z
ADD,broadcast,"a{1024,4,1,1}; b{1024,1,1,1}","{1024,4,1,1}",1024,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,0.909,0.091,2025-10-23T07:43:22Z
ADD,elemwise,"a{1024,64,1,1}; b{1024,64,1,1}","{1024,64,1,1}",1024,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,0.916,0.092,2025-10-23T07:43:22Z
ADD,broadcast,"a{1024,64,1,1}; b{1024,1,1,1}","{1024,64,1,1}",1024,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,0.875,0.088,2025-10-23T07:43:22Z
ADD,elemwise,"a{1024,256,1,1}; b{1024,256,1,1}","{1024,256,1,1}",1024,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,1.143,0.114,2025-10-23T07:43:22Z
ADD,broadcast,"a{1024,256,1,1}; b{1024,1,1,1}","{1024,256,1,1}",1024,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,0.915,0.091,2025-10-23T07:43:22Z
ADD,elemwise,"a{1024,1024,1,1}; b{1024,1024,1,1}","{1024,1024,1,1}",1024,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,1.297,0.130,2025-10-23T07:43:22Z
ADD,broadcast,"a{1024,1024,1,1}; b{1024,1,1,1}","{1024,1024,1,1}",1024,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,1.458,0.146,2025-10-23T07:43:22Z
ADD,elemwise,"a{2048,4,1,1}; b{2048,4,1,1}","{2048,4,1,1}",2048,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,0.891,0.089,2025-10-23T07:43:22Z
ADD,broadcast,"a{2048,4,1,1}; b{2048,1,1,1}","{2048,4,1,1}",2048,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,0.956,0.096,2025-10-23T07:43:22Z
ADD,elemwise,"a{2048,64,1,1}; b{2048,64,1,1}","{2048,64,1,1}",2048,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,0.724,0.072,2025-10-23T07:43:22Z
ADD,broadcast,"a{2048,64,1,1}; b{2048,1,1,1}","{2048,64,1,1}",2048,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,0.838,0.084,2025-10-23T07:43:22Z
ADD,elemwise,"a{2048,256,1,1}; b{2048,256,1,1}","{2048,256,1,1}",2048,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,0.915,0.091,2025-10-23T07:43:22Z
ADD,broadcast,"a{2048,256,1,1}; b{2048,1,1,1}","{2048,256,1,1}",2048,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,1.062,0.106,2025-10-23T07:43:22Z
ADD,elemwise,"a{2048,1024,1,1}; b{2048,1024,1,1}","{2048,1024,1,1}",2048,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,3.091,0.309,2025-10-23T07:43:22Z
ADD,broadcast,"a{2048,1024,1,1}; b{2048,1,1,1}","{2048,1024,1,1}",2048,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,2.614,0.261,2025-10-23T07:43:22Z
ADD,elemwise,"a{4096,4,1,1}; b{4096,4,1,1}","{4096,4,1,1}",4096,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,1.039,0.104,2025-10-23T07:43:22Z
ADD,broadcast,"a{4096,4,1,1}; b{4096,1,1,1}","{4096,4,1,1}",4096,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,1.025,0.103,2025-10-23T07:43:22Z
ADD,elemwise,"a{4096,64,1,1}; b{4096,64,1,1}","{4096,64,1,1}",4096,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,1.163,0.116,2025-10-23T07:43:22Z
ADD,broadcast,"a{4096,64,1,1}; b{4096,1,1,1}","{4096,64,1,1}",4096,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,1.134,0.113,2025-10-23T07:43:22Z
ADD,elemwise,"a{4096,256,1,1}; b{4096,256,1,1}","{4096,256,1,1}",4096,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,1.365,0.136,2025-10-23T07:43:22Z
ADD,broadcast,"a{4096,256,1,1}; b{4096,1,1,1}","{4096,256,1,1}",4096,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,1.112,0.111,2025-10-23T07:43:22Z
ADD,elemwise,"a{4096,1024,1,1}; b{4096,1024,1,1}","{4096,1024,1,1}",4096,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,5.953,0.595,2025-10-23T07:43:22Z
ADD,broadcast,"a{4096,1024,1,1}; b{4096,1,1,1}","{4096,1024,1,1}",4096,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,5.543,0.554,2025-10-23T07:43:22Z
