op,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,backend,device,avg_ms
ADD,"a{1024,4,1,1}; b{1024,4,1,1}","{1024,4,1,1}",1024,,,,4,,,,,,,cpu-ggml,host,0.006
ADD,"a{1024,4,1,1}; b{1024,1,1,1}","{1024,4,1,1}",1024,,,,4,,,,,,,cpu-ggml,host,0.005
ADD,"a{1024,64,1,1}; b{1024,64,1,1}","{1024,64,1,1}",1024,,,,64,,,,,,,cpu-ggml,host,0.075
ADD,"a{1024,64,1,1}; b{1024,1,1,1}","{1024,64,1,1}",1024,,,,64,,,,,,,cpu-ggml,host,0.072
ADD,"a{1024,256,1,1}; b{1024,256,1,1}","{1024,256,1,1}",1024,,,,256,,,,,,,cpu-ggml,host,0.374
ADD,"a{1024,256,1,1}; b{1024,1,1,1}","{1024,256,1,1}",1024,,,,256,,,,,,,cpu-ggml,host,0.300
ADD,"a{1024,1024,1,1}; b{1024,1024,1,1}","{1024,1024,1,1}",1024,,,,1024,,,,,,,cpu-ggml,host,1.297
ADD,"a{1024,1024,1,1}; b{1024,1,1,1}","{1024,1024,1,1}",1024,,,,1024,,,,,,,cpu-ggml,host,1.458
ADD,"a{2048,4,1,1}; b{2048,4,1,1}","{2048,4,1,1}",2048,,,,4,,,,,,,cpu-ggml,host,0.009
ADD,"a{2048,4,1,1}; b{2048,1,1,1}","{2048,4,1,1}",2048,,,,4,,,,,,,cpu-ggml,host,0.010
ADD,"a{2048,64,1,1}; b{2048,64,1,1}","{2048,64,1,1}",2048,,,,64,,,,,,,cpu-ggml,host,0.119
ADD,"a{2048,64,1,1}; b{2048,1,1,1}","{2048,64,1,1}",2048,,,,64,,,,,,,cpu-ggml,host,0.137
ADD,"a{2048,256,1,1}; b{2048,256,1,1}","{2048,256,1,1}",2048,,,,256,,,,,,,cpu-ggml,host,0.600
ADD,"a{2048,256,1,1}; b{2048,1,1,1}","{2048,256,1,1}",2048,,,,256,,,,,,,cpu-ggml,host,0.696
ADD,"a{2048,1024,1,1}; b{2048,1024,1,1}","{2048,1024,1,1}",2048,,,,1024,,,,,,,cpu-ggml,host,3.091
ADD,"a{2048,1024,1,1}; b{2048,1,1,1}","{2048,1024,1,1}",2048,,,,1024,,,,,,,cpu-ggml,host,2.614
ADD,"a{4096,4,1,1}; b{4096,4,1,1}","{4096,4,1,1}",4096,,,,4,,,,,,,cpu-ggml,host,0.021
ADD,"a{4096,4,1,1}; b{4096,1,1,1}","{4096,4,1,1}",4096,,,,4,,,,,,,cpu-ggml,host,0.021
ADD,"a{4096,64,1,1}; b{4096,64,1,1}","{4096,64,1,1}",4096,,,,64,,,,,,,cpu-ggml,host,0.381
ADD,"a{4096,64,1,1}; b{4096,1,1,1}","{4096,64,1,1}",4096,,,,64,,,,,,,cpu-ggml,host,0.372
ADD,"a{4096,256,1,1}; b{4096,256,1,1}","{4096,256,1,1}",4096,,,,256,,,,,,,cpu-ggml,host,1.365
ADD,"a{4096,256,1,1}; b{4096,1,1,1}","{4096,256,1,1}",4096,,,,256,,,,,,,cpu-ggml,host,1.112
ADD,"a{4096,1024,1,1}; b{4096,1024,1,1}","{4096,1024,1,1}",4096,,,,1024,,,,,,,cpu-ggml,host,5.953
ADD,"a{4096,1024,1,1}; b{4096,1,1,1}","{4096,1024,1,1}",4096,,,,1024,,,,,,,cpu-ggml,host,5.543
