op,variant,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,dtype,backend,device,iters,avg_ms,std_ms,timestamp
CPY,dtype_cast,"src{1024,4,1,1}","{1024,4,1,1}",1024,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,1.218,0.122,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{1024,64,1,1}","{1024,64,1,1}",1024,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,0.794,0.079,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{1024,256,1,1}","{1024,256,1,1}",1024,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,0.956,0.096,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{1024,1024,1,1}","{1024,1024,1,1}",1024,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,2.645,0.265,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{2048,4,1,1}","{2048,4,1,1}",2048,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,0.699,0.070,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{2048,64,1,1}","{2048,64,1,1}",2048,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,1.178,0.118,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{2048,256,1,1}","{2048,256,1,1}",2048,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,0.757,0.076,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{2048,1024,1,1}","{2048,1024,1,1}",2048,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,4.138,0.414,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{4096,4,1,1}","{4096,4,1,1}",4096,,,,4,,,,,,,f16->f32,cpu-ggml,host,100,0.974,0.097,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{4096,64,1,1}","{4096,64,1,1}",4096,,,,64,,,,,,,f16->f32,cpu-ggml,host,100,1.124,0.112,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{4096,256,1,1}","{4096,256,1,1}",4096,,,,256,,,,,,,f16->f32,cpu-ggml,host,100,1.105,0.110,2025-10-23T07:43:22Z
CPY,dtype_cast,"src{4096,1024,1,1}","{4096,1024,1,1}",4096,,,,1024,,,,,,,f16->f32,cpu-ggml,host,100,5.975,0.598,2025-10-23T07:43:22Z
