op,variant,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,dtype,backend,device,iters,avg_ms,std_ms,timestamp
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,256,8,1}","{128,8,4,1}",1024,128,8,8,4,256,,,,,,f16->f32,cpu-ggml,host,100,0.915,0.092,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,256,1,1}","{128,8,4,1}",1024,128,8,1,4,256,,,,,,f16->f32,cpu-ggml,host,100,1.006,0.101,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,256,4,1}","{128,8,4,1}",1024,128,8,4,4,256,,,,,,f16->f32,cpu-ggml,host,100,0.866,0.087,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,2048,8,1}","{128,8,4,1}",1024,128,8,8,4,2048,,,,,,f16->f32,cpu-ggml,host,100,0.967,0.097,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,2048,1,1}","{128,8,4,1}",1024,128,8,1,4,2048,,,,,,f16->f32,cpu-ggml,host,100,0.822,0.082,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,2048,4,1}","{128,8,4,1}",1024,128,8,4,4,2048,,,,,,f16->f32,cpu-ggml,host,100,0.940,0.094,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,8192,8,1}","{128,8,4,1}",1024,128,8,8,4,8192,,,,,,f16->f32,cpu-ggml,host,100,0.873,0.087,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,8192,1,1}","{128,8,4,1}",1024,128,8,1,4,8192,,,,,,f16->f32,cpu-ggml,host,100,1.037,0.104,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,4,1}; KV{128,8192,4,1}","{128,8,4,1}",1024,128,8,4,4,8192,,,,,,f16->f32,cpu-ggml,host,100,1.087,0.109,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,256,8,1}","{128,8,64,1}",1024,128,8,8,64,256,,,,,,f16->f32,cpu-ggml,host,100,1.215,0.121,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,256,1,1}","{128,8,64,1}",1024,128,8,1,64,256,,,,,,f16->f32,cpu-ggml,host,100,0.902,0.090,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,256,4,1}","{128,8,64,1}",1024,128,8,4,64,256,,,,,,f16->f32,cpu-ggml,host,100,0.952,0.095,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,2048,8,1}","{128,8,64,1}",1024,128,8,8,64,2048,,,,,,f16->f32,cpu-ggml,host,100,1.690,0.169,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,2048,1,1}","{128,8,64,1}",1024,128,8,1,64,2048,,,,,,f16->f32,cpu-ggml,host,100,1.604,0.160,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,2048,4,1}","{128,8,64,1}",1024,128,8,4,64,2048,,,,,,f16->f32,cpu-ggml,host,100,1.665,0.166,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,8192,8,1}","{128,8,64,1}",1024,128,8,8,64,8192,,,,,,f16->f32,cpu-ggml,host,100,5.138,0.514,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,8192,1,1}","{128,8,64,1}",1024,128,8,1,64,8192,,,,,,f16->f32,cpu-ggml,host,100,7.085,0.709,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,64,1}; KV{128,8192,4,1}","{128,8,64,1}",1024,128,8,4,64,8192,,,,,,f16->f32,cpu-ggml,host,100,5.790,0.579,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,256,8,1}","{128,8,256,1}",1024,128,8,8,256,256,,,,,,f16->f32,cpu-ggml,host,100,0.856,0.086,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,256,1,1}","{128,8,256,1}",1024,128,8,1,256,256,,,,,,f16->f32,cpu-ggml,host,100,0.762,0.076,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,256,4,1}","{128,8,256,1}",1024,128,8,4,256,256,,,,,,f16->f32,cpu-ggml,host,100,1.174,0.117,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,2048,8,1}","{128,8,256,1}",1024,128,8,8,256,2048,,,,,,f16->f32,cpu-ggml,host,100,6.569,0.657,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,2048,1,1}","{128,8,256,1}",1024,128,8,1,256,2048,,,,,,f16->f32,cpu-ggml,host,100,7.868,0.787,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,2048,4,1}","{128,8,256,1}",1024,128,8,4,256,2048,,,,,,f16->f32,cpu-ggml,host,100,6.985,0.698,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,8192,8,1}","{128,8,256,1}",1024,128,8,8,256,8192,,,,,,f16->f32,cpu-ggml,host,100,19.985,1.998,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,8192,1,1}","{128,8,256,1}",1024,128,8,1,256,8192,,,,,,f16->f32,cpu-ggml,host,100,22.480,2.248,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,256,1}; KV{128,8192,4,1}","{128,8,256,1}",1024,128,8,4,256,8192,,,,,,f16->f32,cpu-ggml,host,100,29.895,2.990,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,256,8,1}","{128,8,1024,1}",1024,128,8,8,1024,256,,,,,,f16->f32,cpu-ggml,host,100,2.970,0.297,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,256,1,1}","{128,8,1024,1}",1024,128,8,1,1024,256,,,,,,f16->f32,cpu-ggml,host,100,2.807,0.281,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,256,4,1}","{128,8,1024,1}",1024,128,8,4,1024,256,,,,,,f16->f32,cpu-ggml,host,100,3.265,0.327,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,2048,8,1}","{128,8,1024,1}",1024,128,8,8,1024,2048,,,,,,f16->f32,cpu-ggml,host,100,26.131,2.613,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,2048,1,1}","{128,8,1024,1}",1024,128,8,1,1024,2048,,,,,,f16->f32,cpu-ggml,host,100,22.769,2.277,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,2048,4,1}","{128,8,1024,1}",1024,128,8,4,1024,2048,,,,,,f16->f32,cpu-ggml,host,100,25.530,2.553,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,8192,8,1}","{128,8,1024,1}",1024,128,8,8,1024,8192,,,,,,f16->f32,cpu-ggml,host,100,99.668,9.967,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,8192,1,1}","{128,8,1024,1}",1024,128,8,1,1024,8192,,,,,,f16->f32,cpu-ggml,host,100,65.659,6.566,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{128,8,1024,1}; KV{128,8192,4,1}","{128,8,1024,1}",1024,128,8,4,1024,8192,,,,,,f16->f32,cpu-ggml,host,100,115.470,11.547,2025-10-23T07:43:22Z
FLASH_ATTN_EXT,fused,"Q{64,16,4,1}; KV{64,256,16,1}","{64,16,4,1}",1024,64,16,16,4,256,,,,,,f16->f32,cpu-ggml,host,100,0.878,0.088,2025-10-23T07:43:22Z
