op,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,backend,device,avg_ms
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,256,8,1}","{128,8,4,1}",1024,128,8,8,4,256,,,,,,cpu-ggml,host,0.012
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,256,1,1}","{128,8,4,1}",1024,128,8,1,4,256,,,,,,cpu-ggml,host,0.013
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,256,4,1}","{128,8,4,1}",1024,128,8,4,4,256,,,,,,cpu-ggml,host,0.011
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,2048,8,1}","{128,8,4,1}",1024,128,8,8,4,2048,,,,,,cpu-ggml,host,0.101
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,2048,1,1}","{128,8,4,1}",1024,128,8,1,4,2048,,,,,,cpu-ggml,host,0.086
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,2048,4,1}","{128,8,4,1}",1024,128,8,4,4,2048,,,,,,cpu-ggml,host,0.099
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,8192,8,1}","{128,8,4,1}",1024,128,8,8,4,8192,,,,,,cpu-ggml,host,0.366
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,8192,1,1}","{128,8,4,1}",1024,128,8,1,4,8192,,,,,,cpu-ggml,host,0.435
FLASH_ATTN_EXT,"Q{128,8,4,1}; KV{128,8192,4,1}","{128,8,4,1}",1024,128,8,4,4,8192,,,,,,cpu-ggml,host,0.456
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,256,8,1}","{128,8,64,1}",1024,128,8,8,64,256,,,,,,cpu-ggml,host,0.255
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,256,1,1}","{128,8,64,1}",1024,128,8,1,64,256,,,,,,cpu-ggml,host,0.189
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,256,4,1}","{128,8,64,1}",1024,128,8,4,64,256,,,,,,cpu-ggml,host,0.200
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,2048,8,1}","{128,8,64,1}",1024,128,8,8,64,2048,,,,,,cpu-ggml,host,1.690
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,2048,1,1}","{128,8,64,1}",1024,128,8,1,64,2048,,,,,,cpu-ggml,host,1.604
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,2048,4,1}","{128,8,64,1}",1024,128,8,4,64,2048,,,,,,cpu-ggml,host,1.665
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,8192,8,1}","{128,8,64,1}",1024,128,8,8,64,8192,,,,,,cpu-ggml,host,5.138
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,8192,1,1}","{128,8,64,1}",1024,128,8,1,64,8192,,,,,,cpu-ggml,host,7.085
FLASH_ATTN_EXT,"Q{128,8,64,1}; KV{128,8192,4,1}","{128,8,64,1}",1024,128,8,4,64,8192,,,,,,cpu-ggml,host,5.790
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,256,8,1}","{128,8,256,1}",1024,128,8,8,256,256,,,,,,cpu-ggml,host,0.718
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,256,1,1}","{128,8,256,1}",1024,128,8,1,256,256,,,,,,cpu-ggml,host,0.639
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,256,4,1}","{128,8,256,1}",1024,128,8,4,256,256,,,,,,cpu-ggml,host,0.985
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,2048,8,1}","{128,8,256,1}",1024,128,8,8,256,2048,,,,,,cpu-ggml,host,6.569
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,2048,1,1}","{128,8,256,1}",1024,128,8,1,256,2048,,,,,,cpu-ggml,host,7.868
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,2048,4,1}","{128,8,256,1}",1024,128,8,4,256,2048,,,,,,cpu-ggml,host,6.985
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,8192,8,1}","{128,8,256,1}",1024,128,8,8,256,8192,,,,,,cpu-ggml,host,19.985
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,8192,1,1}","{128,8,256,1}",1024,128,8,1,256,8192,,,,,,cpu-ggml,host,22.480
FLASH_ATTN_EXT,"Q{128,8,256,1}; KV{128,8192,4,1}","{128,8,256,1}",1024,128,8,4,256,8192,,,,,,cpu-ggml,host,29.895
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,256,8,1}","{128,8,1024,1}",1024,128,8,8,1024,256,,,,,,cpu-ggml,host,2.970
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,256,1,1}","{128,8,1024,1}",1024,128,8,1,1024,256,,,,,,cpu-ggml,host,2.807
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,256,4,1}","{128,8,1024,1}",1024,128,8,4,1024,256,,,,,,cpu-ggml,host,3.265
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,2048,8,1}","{128,8,1024,1}",1024,128,8,8,1024,2048,,,,,,cpu-ggml,host,26.131
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,2048,1,1}","{128,8,1024,1}",1024,128,8,1,1024,2048,,,,,,cpu-ggml,host,22.769
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,2048,4,1}","{128,8,1024,1}",1024,128,8,4,1024,2048,,,,,,cpu-ggml,host,25.530
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,8192,8,1}","{128,8,1024,1}",1024,128,8,8,1024,8192,,,,,,cpu-ggml,host,99.668
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,8192,1,1}","{128,8,1024,1}",1024,128,8,1,1024,8192,,,,,,cpu-ggml,host,65.659
FLASH_ATTN_EXT,"Q{128,8,1024,1}; KV{128,8192,4,1}","{128,8,1024,1}",1024,128,8,4,1024,8192,,,,,,cpu-ggml,host,115.470
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,256,16,1}","{64,16,4,1}",1024,64,16,16,4,256,,,,,,cpu-ggml,host,0.012
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,256,1,1}","{64,16,4,1}",1024,64,16,1,4,256,,,,,,cpu-ggml,host,0.016
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,256,8,1}","{64,16,4,1}",1024,64,16,8,4,256,,,,,,cpu-ggml,host,0.011
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,2048,16,1}","{64,16,4,1}",1024,64,16,16,4,2048,,,,,,cpu-ggml,host,0.080
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,2048,1,1}","{64,16,4,1}",1024,64,16,1,4,2048,,,,,,cpu-ggml,host,0.124
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,2048,8,1}","{64,16,4,1}",1024,64,16,8,4,2048,,,,,,cpu-ggml,host,0.080
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,8192,16,1}","{64,16,4,1}",1024,64,16,16,4,8192,,,,,,cpu-ggml,host,0.379
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,8192,1,1}","{64,16,4,1}",1024,64,16,1,4,8192,,,,,,cpu-ggml,host,0.457
FLASH_ATTN_EXT,"Q{64,16,4,1}; KV{64,8192,8,1}","{64,16,4,1}",1024,64,16,8,4,8192,,,,,,cpu-ggml,host,0.399
FLASH_ATTN_EXT,"Q{64,16,64,1}; KV{64,256,16,1}","{64,16,64,1}",1024,64,16,16,64,256,,,,,,cpu-ggml,host,0.158
FLASH_ATTN_EXT,"Q{64,16,64,1}; KV{64,256,1,1}","{64,16,64,1}",1024,64,16,1,64,256,,,,,,cpu-ggml,host,0.216
FLASH_ATTN_EXT,"Q{64,16,64,1}; KV{64,256,8,1}","{64,16,64,1}",1024,64,16,8,64,256,,,,,,cpu-ggml,host,0.204
FLASH_ATTN_EXT,"Q{64,16,64,1}; KV{64,2048,16,1}","{64,16,64,1}",1024,64,16,16,64,2048,,,,,,cpu-ggml,host,2.001
FLASH_ATTN_EXT,"Q{64,16,64,1}; KV{64,2048,1,1}","{64,16,64,1}",1024,64,16,1,64,2048,,,,,,cpu-ggml,host,1.826
FLASH_ATTN_EXT,"Q{64,16,64,1}; KV{64,2048,8,1}","{64,16,64,1}",1024,64,16,8,64,2048,,,,,,cpu-ggml,host,2.442
FLASH_ATTN_EXT,"Q{64,16,64,1}; KV{64,8192,16,1}","{64,16,64,1}",1024,64,16,16,64,8192,,,,,,cpu-ggml,host,5.054
