op,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,backend,device,avg_ms
GELU,"x{4096,4,1,1}","{4096,4,1,1}",,,,,4,,4096,,,,,cpu-ggml,host,0.002
GELU,"x{4096,64,1,1}","{4096,64,1,1}",,,,,64,,4096,,,,,cpu-ggml,host,0.051
GELU,"x{4096,256,1,1}","{4096,256,1,1}",,,,,256,,4096,,,,,cpu-ggml,host,0.180
GELU,"x{4096,1024,1,1}","{4096,1024,1,1}",,,,,1024,,4096,,,,,cpu-ggml,host,0.565
GELU,"x{6144,4,1,1}","{6144,4,1,1}",,,,,4,,6144,,,,,cpu-ggml,host,0.004
GELU,"x{6144,64,1,1}","{6144,64,1,1}",,,,,64,,6144,,,,,cpu-ggml,host,0.067
GELU,"x{6144,256,1,1}","{6144,256,1,1}",,,,,256,,6144,,,,,cpu-ggml,host,0.292
GELU,"x{6144,1024,1,1}","{6144,1024,1,1}",,,,,1024,,6144,,,,,cpu-ggml,host,1.231
GELU,"x{8192,4,1,1}","{8192,4,1,1}",,,,,4,,8192,,,,,cpu-ggml,host,0.005
GELU,"x{8192,64,1,1}","{8192,64,1,1}",,,,,64,,8192,,,,,cpu-ggml,host,0.078
GELU,"x{8192,256,1,1}","{8192,256,1,1}",,,,,256,,8192,,,,,cpu-ggml,host,0.318
GELU,"x{8192,1024,1,1}","{8192,1024,1,1}",,,,,1024,,8192,,,,,cpu-ggml,host,1.192
GELU,"x{12288,4,1,1}","{12288,4,1,1}",,,,,4,,12288,,,,,cpu-ggml,host,0.007
GELU,"x{12288,64,1,1}","{12288,64,1,1}",,,,,64,,12288,,,,,cpu-ggml,host,0.137
GELU,"x{12288,256,1,1}","{12288,256,1,1}",,,,,256,,12288,,,,,cpu-ggml,host,0.525
GELU,"x{12288,1024,1,1}","{12288,1024,1,1}",,,,,1024,,12288,,,,,cpu-ggml,host,1.943
