op,variant,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,dtype,backend,device,iters,avg_ms,std_ms,timestamp
GET_ROWS,,"W{1024,32768,1,1}; ids{4,1,1,1}","{1024,4,1,1}",1024,,,,4,,,32768,,,,f16->f32,cpu-ggml,host,100,0.978,0.098,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,32768,1,1}; ids{64,1,1,1}","{1024,64,1,1}",1024,,,,64,,,32768,,,,f16->f32,cpu-ggml,host,100,0.974,0.097,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,32768,1,1}; ids{256,1,1,1}","{1024,256,1,1}",1024,,,,256,,,32768,,,,f16->f32,cpu-ggml,host,100,0.983,0.098,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,32768,1,1}; ids{1024,1,1,1}","{1024,1024,1,1}",1024,,,,1024,,,32768,,,,f16->f32,cpu-ggml,host,100,3.863,0.386,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,65536,1,1}; ids{4,1,1,1}","{1024,4,1,1}",1024,,,,4,,,65536,,,,f16->f32,cpu-ggml,host,100,0.981,0.098,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,65536,1,1}; ids{64,1,1,1}","{1024,64,1,1}",1024,,,,64,,,65536,,,,f16->f32,cpu-ggml,host,100,0.775,0.078,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,65536,1,1}; ids{256,1,1,1}","{1024,256,1,1}",1024,,,,256,,,65536,,,,f16->f32,cpu-ggml,host,100,1.050,0.105,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,65536,1,1}; ids{1024,1,1,1}","{1024,1024,1,1}",1024,,,,1024,,,65536,,,,f16->f32,cpu-ggml,host,100,3.355,0.336,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,131072,1,1}; ids{4,1,1,1}","{1024,4,1,1}",1024,,,,4,,,131072,,,,f16->f32,cpu-ggml,host,100,0.967,0.097,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,131072,1,1}; ids{64,1,1,1}","{1024,64,1,1}",1024,,,,64,,,131072,,,,f16->f32,cpu-ggml,host,100,1.017,0.102,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,131072,1,1}; ids{256,1,1,1}","{1024,256,1,1}",1024,,,,256,,,131072,,,,f16->f32,cpu-ggml,host,100,1.035,0.103,2025-10-23T07:43:22Z
GET_ROWS,,"W{1024,131072,1,1}; ids{1024,1,1,1}","{1024,1024,1,1}",1024,,,,1024,,,131072,,,,f16->f32,cpu-ggml,host,100,4.105,0.411,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,32768,1,1}; ids{4,1,1,1}","{2048,4,1,1}",2048,,,,4,,,32768,,,,f16->f32,cpu-ggml,host,100,1.098,0.110,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,32768,1,1}; ids{64,1,1,1}","{2048,64,1,1}",2048,,,,64,,,32768,,,,f16->f32,cpu-ggml,host,100,1.017,0.102,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,32768,1,1}; ids{256,1,1,1}","{2048,256,1,1}",2048,,,,256,,,32768,,,,f16->f32,cpu-ggml,host,100,1.554,0.155,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,32768,1,1}; ids{1024,1,1,1}","{2048,1024,1,1}",2048,,,,1024,,,32768,,,,f16->f32,cpu-ggml,host,100,5.927,0.593,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,65536,1,1}; ids{4,1,1,1}","{2048,4,1,1}",2048,,,,4,,,65536,,,,f16->f32,cpu-ggml,host,100,1.037,0.104,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,65536,1,1}; ids{64,1,1,1}","{2048,64,1,1}",2048,,,,64,,,65536,,,,f16->f32,cpu-ggml,host,100,1.197,0.120,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,65536,1,1}; ids{256,1,1,1}","{2048,256,1,1}",2048,,,,256,,,65536,,,,f16->f32,cpu-ggml,host,100,1.759,0.176,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,65536,1,1}; ids{1024,1,1,1}","{2048,1024,1,1}",2048,,,,1024,,,65536,,,,f16->f32,cpu-ggml,host,100,6.879,0.688,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,131072,1,1}; ids{4,1,1,1}","{2048,4,1,1}",2048,,,,4,,,131072,,,,f16->f32,cpu-ggml,host,100,1.080,0.108,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,131072,1,1}; ids{64,1,1,1}","{2048,64,1,1}",2048,,,,64,,,131072,,,,f16->f32,cpu-ggml,host,100,0.782,0.078,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,131072,1,1}; ids{256,1,1,1}","{2048,256,1,1}",2048,,,,256,,,131072,,,,f16->f32,cpu-ggml,host,100,1.666,0.167,2025-10-23T07:43:22Z
GET_ROWS,,"W{2048,131072,1,1}; ids{1024,1,1,1}","{2048,1024,1,1}",2048,,,,1024,,,131072,,,,f16->f32,cpu-ggml,host,100,7.505,0.750,2025-10-23T07:43:22Z
GET_ROWS,,"W{4096,32768,1,1}; ids{4,1,1,1}","{4096,4,1,1}",4096,,,,4,,,32768,,,,f16->f32,cpu-ggml,host,100,1.131,0.113,2025-10-23T07:43:22Z
GET_ROWS,,"W{4096,32768,1,1}; ids{64,1,1,1}","{4096,64,1,1}",4096,,,,64,,,32768,,,,f16->f32,cpu-ggml,host,100,0.964,0.096,2025-10-23T07:43:22Z
GET_ROWS,,"W{4096,32768,1,1}; ids{256,1,1,1}","{4096,256,1,1}",4096,,,,256,,,32768,,,,f16->f32,cpu-ggml,host,100,3.693,0.369,2025-10-23T07:43:22Z
GET_ROWS,,"W{4096,32768,1,1}; ids{1024,1,1,1}","{4096,1024,1,1}",4096,,,,1024,,,32768,,,,f16->f32,cpu-ggml,host,100,14.502,1.450,2025-10-23T07:43:22Z
GET_ROWS,,"W{4096,65536,1,1}; ids{4,1,1,1}","{4096,4,1,1}",4096,,,,4,,,65536,,,,f16->f32,cpu-ggml,host,100,1.117,0.112,2025-10-23T07:43:22Z
GET_ROWS,,"W{4096,65536,1,1}; ids{64,1,1,1}","{4096,64,1,1}",4096,,,,64,,,65536,,,,f16->f32,cpu-ggml,host,100,0.833,0.083,2025-10-23T07:43:22Z
GET_ROWS,,"W{4096,65536,1,1}; ids{256,1,1,1}","{4096,256,1,1}",4096,,,,256,,,65536,,,,f16->f32,cpu-ggml,host,100,3.793,0.379,2025-10-23T07:43:22Z
