op,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,backend,device,avg_ms
GET_ROWS,"W{1024,32768,1,1}; ids{4,1,1,1}","{1024,4,1,1}",1024,,,,4,,,32768,,,,cpu-ggml,host,0.013
GET_ROWS,"W{1024,32768,1,1}; ids{64,1,1,1}","{1024,64,1,1}",1024,,,,64,,,32768,,,,cpu-ggml,host,0.213
GET_ROWS,"W{1024,32768,1,1}; ids{256,1,1,1}","{1024,256,1,1}",1024,,,,256,,,32768,,,,cpu-ggml,host,0.859
GET_ROWS,"W{1024,32768,1,1}; ids{1024,1,1,1}","{1024,1024,1,1}",1024,,,,1024,,,32768,,,,cpu-ggml,host,3.863
GET_ROWS,"W{1024,65536,1,1}; ids{4,1,1,1}","{1024,4,1,1}",1024,,,,4,,,65536,,,,cpu-ggml,host,0.013
GET_ROWS,"W{1024,65536,1,1}; ids{64,1,1,1}","{1024,64,1,1}",1024,,,,64,,,65536,,,,cpu-ggml,host,0.169
GET_ROWS,"W{1024,65536,1,1}; ids{256,1,1,1}","{1024,256,1,1}",1024,,,,256,,,65536,,,,cpu-ggml,host,0.917
GET_ROWS,"W{1024,65536,1,1}; ids{1024,1,1,1}","{1024,1024,1,1}",1024,,,,1024,,,65536,,,,cpu-ggml,host,3.355
GET_ROWS,"W{1024,131072,1,1}; ids{4,1,1,1}","{1024,4,1,1}",1024,,,,4,,,131072,,,,cpu-ggml,host,0.013
GET_ROWS,"W{1024,131072,1,1}; ids{64,1,1,1}","{1024,64,1,1}",1024,,,,64,,,131072,,,,cpu-ggml,host,0.222
GET_ROWS,"W{1024,131072,1,1}; ids{256,1,1,1}","{1024,256,1,1}",1024,,,,256,,,131072,,,,cpu-ggml,host,0.904
GET_ROWS,"W{1024,131072,1,1}; ids{1024,1,1,1}","{1024,1024,1,1}",1024,,,,1024,,,131072,,,,cpu-ggml,host,4.105
GET_ROWS,"W{2048,32768,1,1}; ids{4,1,1,1}","{2048,4,1,1}",2048,,,,4,,,32768,,,,cpu-ggml,host,0.030
GET_ROWS,"W{2048,32768,1,1}; ids{64,1,1,1}","{2048,64,1,1}",2048,,,,64,,,32768,,,,cpu-ggml,host,0.444
GET_ROWS,"W{2048,32768,1,1}; ids{256,1,1,1}","{2048,256,1,1}",2048,,,,256,,,32768,,,,cpu-ggml,host,1.554
GET_ROWS,"W{2048,32768,1,1}; ids{1024,1,1,1}","{2048,1024,1,1}",2048,,,,1024,,,32768,,,,cpu-ggml,host,5.927
GET_ROWS,"W{2048,65536,1,1}; ids{4,1,1,1}","{2048,4,1,1}",2048,,,,4,,,65536,,,,cpu-ggml,host,0.028
GET_ROWS,"W{2048,65536,1,1}; ids{64,1,1,1}","{2048,64,1,1}",2048,,,,64,,,65536,,,,cpu-ggml,host,0.523
GET_ROWS,"W{2048,65536,1,1}; ids{256,1,1,1}","{2048,256,1,1}",2048,,,,256,,,65536,,,,cpu-ggml,host,1.759
GET_ROWS,"W{2048,65536,1,1}; ids{1024,1,1,1}","{2048,1024,1,1}",2048,,,,1024,,,65536,,,,cpu-ggml,host,6.879
GET_ROWS,"W{2048,131072,1,1}; ids{4,1,1,1}","{2048,4,1,1}",2048,,,,4,,,131072,,,,cpu-ggml,host,0.029
GET_ROWS,"W{2048,131072,1,1}; ids{64,1,1,1}","{2048,64,1,1}",2048,,,,64,,,131072,,,,cpu-ggml,host,0.342
GET_ROWS,"W{2048,131072,1,1}; ids{256,1,1,1}","{2048,256,1,1}",2048,,,,256,,,131072,,,,cpu-ggml,host,1.666
GET_ROWS,"W{2048,131072,1,1}; ids{1024,1,1,1}","{2048,1024,1,1}",2048,,,,1024,,,131072,,,,cpu-ggml,host,7.505
GET_ROWS,"W{4096,32768,1,1}; ids{4,1,1,1}","{4096,4,1,1}",4096,,,,4,,,32768,,,,cpu-ggml,host,0.062
GET_ROWS,"W{4096,32768,1,1}; ids{64,1,1,1}","{4096,64,1,1}",4096,,,,64,,,32768,,,,cpu-ggml,host,0.842
GET_ROWS,"W{4096,32768,1,1}; ids{256,1,1,1}","{4096,256,1,1}",4096,,,,256,,,32768,,,,cpu-ggml,host,3.693
GET_ROWS,"W{4096,32768,1,1}; ids{1024,1,1,1}","{4096,1024,1,1}",4096,,,,1024,,,32768,,,,cpu-ggml,host,14.502
GET_ROWS,"W{4096,65536,1,1}; ids{4,1,1,1}","{4096,4,1,1}",4096,,,,4,,,65536,,,,cpu-ggml,host,0.061
GET_ROWS,"W{4096,65536,1,1}; ids{64,1,1,1}","{4096,64,1,1}",4096,,,,64,,,65536,,,,cpu-ggml,host,0.728
GET_ROWS,"W{4096,65536,1,1}; ids{256,1,1,1}","{4096,256,1,1}",4096,,,,256,,,65536,,,,cpu-ggml,host,3.793
GET_ROWS,"W{4096,65536,1,1}; ids{1024,1,1,1}","{4096,1024,1,1}",4096,,,,1024,,,65536,,,,cpu-ggml,host,10.805
GET_ROWS,"W{4096,131072,1,1}; ids{4,1,1,1}","{4096,4,1,1}",4096,,,,4,,,131072,,,,cpu-ggml,host,0.033
GET_ROWS,"W{4096,131072,1,1}; ids{64,1,1,1}","{4096,64,1,1}",4096,,,,64,,,131072,,,,cpu-ggml,host,0.794
GET_ROWS,"W{4096,131072,1,1}; ids{256,1,1,1}","{4096,256,1,1}",4096,,,,256,,,131072,,,,cpu-ggml,host,3.015
GET_ROWS,"W{4096,131072,1,1}; ids{1024,1,1,1}","{4096,1024,1,1}",4096,,,,1024,,,131072,,,,cpu-ggml,host,15.818
