op,in_shapes,out_shape,D,T,group,backend,device,avg_ms
VIEW_2D,"{8,4,1,1}","{8,4}",8,4,1,cpu-ggml,host,0.001091
VIEW_2D,"{8,4,2,1}","{16,4}",8,4,2,cpu-ggml,host,0.001276
VIEW_2D,"{8,4,4,1}","{32,4}",8,4,4,cpu-ggml,host,0.001566
VIEW_2D,"{8,4,8,1}","{64,4}",8,4,8,cpu-ggml,host,0.000996
VIEW_2D,"{8,64,1,1}","{8,64}",8,64,1,cpu-ggml,host,0.000992
VIEW_2D,"{8,64,2,1}","{16,64}",8,64,2,cpu-ggml,host,0.000993
VIEW_2D,"{8,64,4,1}","{32,64}",8,64,4,cpu-ggml,host,0.001001
VIEW_2D,"{8,64,8,1}","{64,64}",8,64,8,cpu-ggml,host,0.000998
VIEW_2D,"{8,256,1,1}","{8,256}",8,256,1,cpu-ggml,host,0.000999
VIEW_2D,"{8,256,2,1}","{16,256}",8,256,2,cpu-ggml,host,0.001002
VIEW_2D,"{8,256,4,1}","{32,256}",8,256,4,cpu-ggml,host,0.001003
VIEW_2D,"{8,256,8,1}","{64,256}",8,256,8,cpu-ggml,host,0.000997
VIEW_2D,"{8,1024,1,1}","{8,1024}",8,1024,1,cpu-ggml,host,0.000995
VIEW_2D,"{8,1024,2,1}","{16,1024}",8,1024,2,cpu-ggml,host,0.001093
VIEW_2D,"{8,1024,4,1}","{32,1024}",8,1024,4,cpu-ggml,host,0.000999
VIEW_2D,"{8,1024,8,1}","{64,1024}",8,1024,8,cpu-ggml,host,0.000977
VIEW_2D,"{64,4,1,1}","{64,4}",64,4,1,cpu-ggml,host,0.001227
VIEW_2D,"{64,4,2,1}","{128,4}",64,4,2,cpu-ggml,host,0.001232
VIEW_2D,"{64,4,4,1}","{256,4}",64,4,4,cpu-ggml,host,0.000982
VIEW_2D,"{64,4,8,1}","{512,4}",64,4,8,cpu-ggml,host,0.000990
VIEW_2D,"{64,64,1,1}","{64,64}",64,64,1,cpu-ggml,host,0.000995
VIEW_2D,"{64,64,2,1}","{128,64}",64,64,2,cpu-ggml,host,0.000993
VIEW_2D,"{64,64,4,1}","{256,64}",64,64,4,cpu-ggml,host,0.000994
VIEW_2D,"{64,64,8,1}","{512,64}",64,64,8,cpu-ggml,host,0.001216
VIEW_2D,"{64,256,1,1}","{64,256}",64,256,1,cpu-ggml,host,0.001229
VIEW_2D,"{64,256,2,1}","{128,256}",64,256,2,cpu-ggml,host,0.000977
VIEW_2D,"{64,256,4,1}","{256,256}",64,256,4,cpu-ggml,host,0.001216
VIEW_2D,"{64,256,8,1}","{512,256}",64,256,8,cpu-ggml,host,0.001004
VIEW_2D,"{64,1024,1,1}","{64,1024}",64,1024,1,cpu-ggml,host,0.000998
VIEW_2D,"{64,1024,2,1}","{128,1024}",64,1024,2,cpu-ggml,host,0.001002
VIEW_2D,"{64,1024,4,1}","{256,1024}",64,1024,4,cpu-ggml,host,0.001446
VIEW_2D,"{64,1024,8,1}","{512,1024}",64,1024,8,cpu-ggml,host,0.001049
VIEW_2D,"{256,4,1,1}","{256,4}",256,4,1,cpu-ggml,host,0.000995
VIEW_2D,"{256,4,2,1}","{512,4}",256,4,2,cpu-ggml,host,0.001512
VIEW_2D,"{256,4,4,1}","{1024,4}",256,4,4,cpu-ggml,host,0.001270
VIEW_2D,"{256,4,8,1}","{2048,4}",256,4,8,cpu-ggml,host,0.001280
VIEW_2D,"{256,64,1,1}","{256,64}",256,64,1,cpu-ggml,host,0.001007
VIEW_2D,"{256,64,2,1}","{512,64}",256,64,2,cpu-ggml,host,0.000993
VIEW_2D,"{256,64,4,1}","{1024,64}",256,64,4,cpu-ggml,host,0.000997
VIEW_2D,"{256,64,8,1}","{2048,64}",256,64,8,cpu-ggml,host,0.000973
VIEW_2D,"{256,256,1,1}","{256,256}",256,256,1,cpu-ggml,host,0.001003
VIEW_2D,"{256,256,2,1}","{512,256}",256,256,2,cpu-ggml,host,0.001499
VIEW_2D,"{256,256,4,1}","{1024,256}",256,256,4,cpu-ggml,host,0.001005
VIEW_2D,"{256,256,8,1}","{2048,256}",256,256,8,cpu-ggml,host,0.001017
VIEW_2D,"{256,1024,1,1}","{256,1024}",256,1024,1,cpu-ggml,host,0.000991
VIEW_2D,"{256,1024,2,1}","{512,1024}",256,1024,2,cpu-ggml,host,0.001044
VIEW_2D,"{256,1024,4,1}","{1024,1024}",256,1024,4,cpu-ggml,host,0.001052
VIEW_2D,"{256,1024,8,1}","{2048,1024}",256,1024,8,cpu-ggml,host,0.001362
