op,in_shapes,out_shape,D,T,H,group,backend,device,avg_ms
VIEW_3D,"{8,4,2,1}","{8,4,2}",8,4,2,1,cpu-ggml,host,0.001265
VIEW_3D,"{8,4,2,2}","{16,4,2}",8,4,2,2,cpu-ggml,host,0.000968
VIEW_3D,"{8,4,2,4}","{32,4,2}",8,4,2,4,cpu-ggml,host,0.000968
VIEW_3D,"{8,4,2,8}","{64,4,2}",8,4,2,8,cpu-ggml,host,0.000966
VIEW_3D,"{8,4,4,1}","{8,4,4}",8,4,4,1,cpu-ggml,host,0.000966
VIEW_3D,"{8,4,4,2}","{16,4,4}",8,4,4,2,cpu-ggml,host,0.000966
VIEW_3D,"{8,4,4,4}","{32,4,4}",8,4,4,4,cpu-ggml,host,0.000967
VIEW_3D,"{8,4,4,8}","{64,4,4}",8,4,4,8,cpu-ggml,host,0.000969
VIEW_3D,"{8,4,8,1}","{8,4,8}",8,4,8,1,cpu-ggml,host,0.000969
VIEW_3D,"{8,4,8,2}","{16,4,8}",8,4,8,2,cpu-ggml,host,0.000966
VIEW_3D,"{8,4,8,4}","{32,4,8}",8,4,8,4,cpu-ggml,host,0.000967
VIEW_3D,"{8,4,8,8}","{64,4,8}",8,4,8,8,cpu-ggml,host,0.000968
VIEW_3D,"{8,4,16,1}","{8,4,16}",8,4,16,1,cpu-ggml,host,0.001218
VIEW_3D,"{8,4,16,2}","{16,4,16}",8,4,16,2,cpu-ggml,host,0.002024
VIEW_3D,"{8,4,16,4}","{32,4,16}",8,4,16,4,cpu-ggml,host,0.001668
VIEW_3D,"{8,4,16,8}","{64,4,16}",8,4,16,8,cpu-ggml,host,0.000968
VIEW_3D,"{8,64,2,1}","{8,64,2}",8,64,2,1,cpu-ggml,host,0.000965
VIEW_3D,"{8,64,2,2}","{16,64,2}",8,64,2,2,cpu-ggml,host,0.001258
VIEW_3D,"{8,64,2,4}","{32,64,2}",8,64,2,4,cpu-ggml,host,0.000968
VIEW_3D,"{8,64,2,8}","{64,64,2}",8,64,2,8,cpu-ggml,host,0.000967
VIEW_3D,"{8,64,4,1}","{8,64,4}",8,64,4,1,cpu-ggml,host,0.000967
VIEW_3D,"{8,64,4,2}","{16,64,4}",8,64,4,2,cpu-ggml,host,0.000967
VIEW_3D,"{8,64,4,4}","{32,64,4}",8,64,4,4,cpu-ggml,host,0.000968
