op,in_shapes,out_shape,D,T,H,G,backend,device,avg_ms
VIEW_4D,"{8,4,2,1}","{8,4,2,1}",8,4,2,1,cpu-ggml,host,0.001288
VIEW_4D,"{8,4,2,2}","{8,4,2,2}",8,4,2,2,cpu-ggml,host,0.001204
VIEW_4D,"{8,4,2,4}","{8,4,2,4}",8,4,2,4,cpu-ggml,host,0.001242
VIEW_4D,"{8,4,2,8}","{8,4,2,8}",8,4,2,8,cpu-ggml,host,0.001249
VIEW_4D,"{8,4,4,1}","{8,4,4,1}",8,4,4,1,cpu-ggml,host,0.001727
VIEW_4D,"{8,4,4,2}","{8,4,4,2}",8,4,4,2,cpu-ggml,host,0.000967
VIEW_4D,"{8,4,4,4}","{8,4,4,4}",8,4,4,4,cpu-ggml,host,0.000963
VIEW_4D,"{8,4,4,8}","{8,4,4,8}",8,4,4,8,cpu-ggml,host,0.000965
VIEW_4D,"{8,4,8,1}","{8,4,8,1}",8,4,8,1,cpu-ggml,host,0.000964
VIEW_4D,"{8,4,8,2}","{8,4,8,2}",8,4,8,2,cpu-ggml,host,0.001216
VIEW_4D,"{8,4,8,4}","{8,4,8,4}",8,4,8,4,cpu-ggml,host,0.000964
VIEW_4D,"{8,4,8,8}","{8,4,8,8}",8,4,8,8,cpu-ggml,host,0.000969
VIEW_4D,"{8,4,16,1}","{8,4,16,1}",8,4,16,1,cpu-ggml,host,0.000965
VIEW_4D,"{8,4,16,2}","{8,4,16,2}",8,4,16,2,cpu-ggml,host,0.000965
VIEW_4D,"{8,4,16,4}","{8,4,16,4}",8,4,16,4,cpu-ggml,host,0.000966
VIEW_4D,"{8,4,16,8}","{8,4,16,8}",8,4,16,8,cpu-ggml,host,0.000965
VIEW_4D,"{8,64,2,1}","{8,64,2,1}",8,64,2,1,cpu-ggml,host,0.000964
VIEW_4D,"{8,64,2,2}","{8,64,2,2}",8,64,2,2,cpu-ggml,host,0.000964
VIEW_4D,"{8,64,2,4}","{8,64,2,4}",8,64,2,4,cpu-ggml,host,0.000965
VIEW_4D,"{8,64,2,8}","{8,64,2,8}",8,64,2,8,cpu-ggml,host,0.001563
VIEW_4D,"{8,64,4,1}","{8,64,4,1}",8,64,4,1,cpu-ggml,host,0.000966
