task,policy_id,source,prune_fraction,ppl,acc,num_pruned_modules,plan_json
resnet50,0,synthetic,0.0,,1.0,0,{}
resnet50,0,real,0.0,,0.875,0,{}
resnet50,1,synthetic,0.010017993239360274,,0.0,10,"{""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.4375, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.34375, ""resnet.encoder.stages.1.layers.1.layer.0.convolution"": 0.984375, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.9921875, ""resnet.encoder.stages.1.layers.2.layer.2.convolution"": 0.9765625, ""resnet.encoder.stages.1.layers.3.layer.2.convolution"": 0.828125, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.984375, ""resnet.encoder.stages.2.layers.0.layer.2.convolution"": 0.28125, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.984375, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.978515625}"
resnet50,1,real,0.010017993239360274,,0.0,10,"{""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.4375, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.34375, ""resnet.encoder.stages.1.layers.1.layer.0.convolution"": 0.984375, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.9921875, ""resnet.encoder.stages.1.layers.2.layer.2.convolution"": 0.9765625, ""resnet.encoder.stages.1.layers.3.layer.2.convolution"": 0.828125, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.984375, ""resnet.encoder.stages.2.layers.0.layer.2.convolution"": 0.28125, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.984375, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.978515625}"
resnet50,2,synthetic,0.020066100686854896,,0.0,7,"{""classifier.1"": 0.997, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.37890625, ""resnet.encoder.stages.2.layers.0.layer.1.convolution"": 0.97265625, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.236328125, ""resnet.encoder.stages.2.layers.3.layer.1.convolution"": 0.99609375, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.99609375, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.994140625}"
resnet50,2,real,0.020066100686854896,,0.75,7,"{""classifier.1"": 0.997, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.37890625, ""resnet.encoder.stages.2.layers.0.layer.1.convolution"": 0.97265625, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.236328125, ""resnet.encoder.stages.2.layers.3.layer.1.convolution"": 0.99609375, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.99609375, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.994140625}"
resnet50,3,synthetic,0.030053979718080822,,0.0,10,"{""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.59375, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.859375, ""resnet.encoder.stages.1.layers.2.layer.1.convolution"": 0.0625, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.70703125, ""resnet.encoder.stages.2.layers.3.layer.1.convolution"": 0.99609375, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.99609375, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.48046875, ""resnet.encoder.stages.3.layers.1.layer.0.convolution"": 0.998046875, ""resnet.encoder.stages.3.layers.1.layer.2.convolution"": 0.98046875, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.76953125}"
resnet50,3,real,0.030053979718080822,,0.375,10,"{""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.59375, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.859375, ""resnet.encoder.stages.1.layers.2.layer.1.convolution"": 0.0625, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.70703125, ""resnet.encoder.stages.2.layers.3.layer.1.convolution"": 0.99609375, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.99609375, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.48046875, ""resnet.encoder.stages.3.layers.1.layer.0.convolution"": 0.998046875, ""resnet.encoder.stages.3.layers.1.layer.2.convolution"": 0.98046875, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.76953125}"
resnet50,4,synthetic,0.04001676357586145,,0.0,11,"{""classifier.1"": 0.983, ""resnet.encoder.stages.0.layers.1.layer.0.convolution"": 0.96875, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.9765625, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.515625, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.3046875, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.99609375, ""resnet.encoder.stages.2.layers.2.layer.2.convolution"": 0.77734375, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.14453125, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.984375, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.998046875, ""resnet.encoder.stages.3.layers.2.layer.2.convolution"": 0.984375}"
resnet50,4,real,0.04001676357586145,,0.875,11,"{""classifier.1"": 0.983, ""resnet.encoder.stages.0.layers.1.layer.0.convolution"": 0.96875, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.9765625, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.515625, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.3046875, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.99609375, ""resnet.encoder.stages.2.layers.2.layer.2.convolution"": 0.77734375, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.14453125, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.984375, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.998046875, ""resnet.encoder.stages.3.layers.2.layer.2.convolution"": 0.984375}"
resnet50,5,synthetic,0.050009661641776434,,0.0,10,"{""classifier.1"": 0.749, ""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.046875, ""resnet.encoder.stages.0.layers.1.layer.2.convolution"": 0.984375, ""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.296875, ""resnet.encoder.stages.1.layers.0.layer.1.convolution"": 0.984375, ""resnet.encoder.stages.2.layers.3.layer.0.convolution"": 0.84765625, ""resnet.encoder.stages.2.layers.3.layer.2.convolution"": 0.703125, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.9921875, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.845703125, ""resnet.encoder.stages.3.layers.1.layer.1.convolution"": 0.87890625}"
resnet50,5,real,0.050009661641776434,,0.0,10,"{""classifier.1"": 0.749, ""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.046875, ""resnet.encoder.stages.0.layers.1.layer.2.convolution"": 0.984375, ""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.296875, ""resnet.encoder.stages.1.layers.0.layer.1.convolution"": 0.984375, ""resnet.encoder.stages.2.layers.3.layer.0.convolution"": 0.84765625, ""resnet.encoder.stages.2.layers.3.layer.2.convolution"": 0.703125, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.9921875, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.845703125, ""resnet.encoder.stages.3.layers.1.layer.1.convolution"": 0.87890625}"
resnet50,6,synthetic,0.06001510729441407,,0.0,15,"{""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.296875, ""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.984375, ""resnet.encoder.stages.1.layers.0.layer.0.convolution"": 0.59375, ""resnet.encoder.stages.1.layers.0.layer.2.convolution"": 0.5, ""resnet.encoder.stages.1.layers.1.layer.0.convolution"": 0.171875, ""resnet.encoder.stages.1.layers.2.layer.2.convolution"": 0.984375, ""resnet.encoder.stages.1.layers.3.layer.1.convolution"": 0.6484375, ""resnet.encoder.stages.1.layers.3.layer.2.convolution"": 0.9921875, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.16796875, ""resnet.encoder.stages.2.layers.3.layer.0.convolution"": 0.9296875, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.97265625, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.99609375, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.708984375, ""resnet.encoder.stages.3.layers.1.layer.0.convolution"": 0.529296875, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.998046875}"
