case	throughput	text
load_baseline_run1	8.52221	,
load_baseline_run2	8.63419	,
load_baseline_run3	8.54784	,
load_split_run1	8.2642	,
load_split_run2	8.58112	,
load_split_run3	8.30847	,
load_timeout_run1_2ms	0.538878	,
load_timeout_run2_2ms	0.532321	,
load_timeout_run3_2ms	0.596747	,
load_timeout_scan_10ms	0.534976	,
load_timeout_scan_1ms	0.585298	,
load_timeout_scan_2ms	0.594802	,
load_timeout_scan_5ms	0.557947	,
no_load_baseline_run1	28.5757	,
no_load_baseline_run2	31.4842	,
no_load_baseline_run3	31.4405	,
no_load_split_run1	28.9628	,
no_load_split_run2	29.0307	,
no_load_split_run3	29.4502	,
BEST_TIMEOUT_MS=2
