kind,cpus,n_cpus,load_pct,repeat,status,generation_decode_ms,elapsed_s,log
multi,"60,61",2,0,0,ok,84.9766,0.9292821884155273,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load0_rep0.log
multi,"60,61,62,63",4,0,0,ok,56.8453,0.7582366466522217,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load0_rep0.log
multi,"60,61,62,63,64,65",6,0,0,ok,37.1979,0.7063453197479248,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load0_rep0.log
multi,"60,61,62,63,64,65,66,67",8,0,0,ok,32.0358,0.7053194046020508,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load0_rep0.log
multi,"60,62",2,0,0,ok,83.4701,0.862307071685791,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load0_rep0.log
multi,"61,63",2,0,0,ok,83.3467,0.8251755237579346,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load0_rep0.log
multi,"60,61",2,10,0,ok,87.2938,0.8272800445556641,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load10_rep0.log
multi,"60,61,62,63",4,10,0,ok,47.9123,0.7645530700683594,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load10_rep0.log
multi,"60,61,62,63,64,65",6,10,0,ok,36.816,0.7049543857574463,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load10_rep0.log
multi,"60,61,62,63,64,65,66,67",8,10,0,ok,35.3874,0.8854868412017822,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load10_rep0.log
multi,"60,62",2,10,0,ok,88.6401,0.8373715877532959,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load10_rep0.log
multi,"61,63",2,10,0,ok,84.157,0.8596024513244629,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load10_rep0.log
multi,"60,61",2,20,0,ok,80.818,0.839268684387207,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load20_rep0.log
multi,"60,61,62,63",4,20,0,ok,47.8114,0.8407890796661377,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load20_rep0.log
multi,"60,61,62,63,64,65",6,20,0,ok,36.4969,0.8120956420898438,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load20_rep0.log
multi,"60,61,62,63,64,65,66,67",8,20,0,ok,40.4118,0.8910419940948486,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load20_rep0.log
multi,"60,62",2,20,0,ok,84.943,0.819821834564209,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load20_rep0.log
multi,"61,63",2,20,0,ok,83.7914,0.8384435176849365,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load20_rep0.log
multi,"60,61",2,30,0,ok,85.8965,0.8418374061584473,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load30_rep0.log
multi,"60,61,62,63",4,30,0,ok,47.6756,0.9174909591674805,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load30_rep0.log
multi,"60,61,62,63,64,65",6,30,0,ok,36.5985,0.8428475856781006,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load30_rep0.log
multi,"60,61,62,63,64,65,66,67",8,30,0,ok,69.6333,1.1577610969543457,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load30_rep0.log
multi,"60,62",2,30,0,ok,87.6059,0.8400382995605469,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load30_rep0.log
multi,"61,63",2,30,0,ok,87.7659,0.8453052043914795,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load30_rep0.log
multi,"60,61",2,40,0,ok,90.6598,0.8912465572357178,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load40_rep0.log
multi,"60,61,62,63",4,40,0,ok,49.2177,0.7566502094268799,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load40_rep0.log
multi,"60,61,62,63,64,65",6,40,0,ok,37.7437,0.9024209976196289,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load40_rep0.log
multi,"60,61,62,63,64,65,66,67",8,40,0,ok,38.8865,1.0696799755096436,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load40_rep0.log
multi,"60,62",2,40,0,ok,89.5047,0.843808650970459,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load40_rep0.log
