load_workers,policy,runs,decode_tok_s_mean,decode_tok_s_stdev,generation_decode_ms_mean,speedup_vs_same_load_baseline
0,alternate_0.5,1,32.7269,0.0,30.5559,1.1717052737102145
0,alternate_0.75,1,34.168,0.0,29.2671,1.2233002756793527
0,baseline,1,27.931,0.0,35.8025,1.0
0,uniform_0.5,1,32.9301,0.0,30.3674,1.1789803444201783
2,alternate_0.5,1,0.165517,0.0,6041.66,0.9948668938697249
2,alternate_0.75,1,0.166886,0.0,5992.12,1.0030954914017467
2,baseline,1,0.166371,0.0,6010.67,1.0
2,uniform_0.5,1,0.167907,0.0,5955.66,1.009232378238996
4,alternate_0.5,1,0.166102,0.0,6020.4,1.0086226788598633
4,alternate_0.75,1,0.1666,0.0,6002.39,1.0116466887698716
4,baseline,1,0.164682,0.0,6072.31,1.0
4,uniform_0.5,1,0.164256,0.0,6088.07,0.9974131963420412
