name,cpus,n_cpus,load_vector,measured_ms_median,predicted_ms,relative_error,missing_single_cpus,repeats
2core_0_50,"60,61",2,"60:0,61:50",87.80160000000001,78.65814392229899,0.10413769313658312,,2
2core_20_80,"60,61",2,"60:20,61:80",85.77285,80.94972927101925,0.05623132178749749,,2
2core_0_100,"60,61",2,"60:0,61:100",86.27505,78.35878763128677,0.09175610293721326,,2
4core_0_0_50_50,"60,61,62,63",4,"60:0,61:0,62:50,63:50",48.968599999999995,39.37619435451654,0.1958889093313563,,2
4core_0_20_60_100,"60,61,62,63",4,"60:0,61:20,62:60,63:100",1319.1254999999999,39.82403806396572,0.9698102735001592,,2
4core_10_30_70_90,"60,61,62,63",4,"60:10,61:30,62:70,63:90",54.548249999999996,40.325129004474505,0.26074385512872533,,2
6core_mixed,"60,61,62,63,64,65",6,"60:0,61:0,62:20,63:50,64:80,65:100",4832.745,26.43760494193701,0.9945294848079224,,2
8core_gradient,"60,61,62,63,64,65,66,67",8,"60:0,61:10,62:20,63:30,64:60,65:70,66:90,67:100",40.87865,19.949894342605727,0.5119727695849612,,2
8core_major_idle_minor_busy,"60,61,62,63,64,65,66,67",8,"60:0,61:0,62:0,63:0,64:80,65:80,66:100,67:100",5973.51,19.7901053807849,0.9966870223066866,,2
8core_alternating,"60,61,62,63,64,65,66,67",8,"60:0,61:100,62:10,63:90,64:20,65:80,66:30,67:70",48.012,19.93178170025077,0.5848583333281102,,2
