scenario,n_cores,cpus,loads,mode,feasible,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_full_local_ms,estimated_speedup,rates_file,timeouts_file
4c_ramp_light,4,"60,61,62,63","0,10,20,30",local,True,4,"60,61,62,63",,0,0.0,48.91789,48.917888,0.9999999591151622,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/4c_ramp_light.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/4c_ramp_light.timeouts.txt
4c_mixed,4,"60,61,62,63","0,30,60,90",local,True,4,"60,61,62,63",,0,0.0,56.534576,56.534577,1.0000000176882904,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/4c_mixed.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/4c_mixed.timeouts.txt
4c_front_hot,4,"60,61,62,63","90,70,20,0",local,True,3,"61,62,63",60,14,0.4,57.269466,59.110086,1.0321396396467186,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/4c_front_hot.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/4c_front_hot.timeouts.txt
4c_high,4,"60,61,62,63","70,80,90,100",local,True,3,"61,62,63",60,14,0.7,57.23219,68.51391,1.197121934351979,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/4c_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/4c_high.timeouts.txt
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",local,True,5,"60,61,62,63,65",64,14,0.3,37.492242,38.952285,1.0389425364319371,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/6c_ramp_light.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/6c_ramp_light.timeouts.txt
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",local,True,4,"60,61,62,63","64,65",14,0.9,37.38389,395.501081,10.579452298837815,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/6c_mixed.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/6c_mixed.timeouts.txt
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",edge_end,True,3,"62,63,65","60,61,64",11,0.9,38.515019,161.101593,4.182825224622114,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/6c_front_hot.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/6c_front_hot.timeouts.txt
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",local,True,5,"60,61,62,63,64",65,14,0.3,37.452892,81.504686,2.176192054808478,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/6c_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/6c_high.timeouts.txt
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",local,True,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,42.312251,1.311716968176048,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/8c_ramp_light.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/8c_ramp_light.timeouts.txt
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",local,True,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,125.128308,3.8918693262244255,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/8c_mixed.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/8c_mixed.timeouts.txt
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",edge_end,True,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,80.590008,2.4227970053763,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/8c_front_hot.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/8c_front_hot.timeouts.txt
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",local,True,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,45.053686,1.397283444212634,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/8c_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_effectiveness_20260429_r1/8c_high.timeouts.txt
