scenario,n_cores,cpus,loads,baseline_runs,schedule_runs,baseline_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_tok_s_median,schedule_tok_s_median,speedup_vs_baseline_median,baseline_decode_ms,schedule_decode_ms,baseline_decode_ms_median,schedule_decode_ms_median,mode,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_speedup
4c_front_hot,4,"60,61,62,63","90,70,20,0",3,3,20.938766666666666,14.49935,0.6924643762844994,21.8092,20.6436,0.9465546650037598,47.93166666666667,186.00873333333334,45.8522,48.4412,local,3,"61,62,63",60,14,0.4,57.269466,1.0321396396467186
4c_high,4,"60,61,62,63","70,80,90,100",3,3,19.2051,17.765066666666666,0.925018180934578,18.885,18.5681,0.9832194863648398,52.16596666666667,56.5453,52.9522,53.8557,local,3,"61,62,63",60,14,0.7,57.23219,1.197121934351979
4c_mixed,4,"60,61,62,63","0,30,60,90",3,3,17.863066666666665,17.863066666666665,1.0,17.9287,17.9287,1.0,57.17523333333333,57.17523333333333,55.7766,55.7766,local,4,"60,61,62,63",,0,0.0,56.534576,1.0000000176882904
4c_ramp_light,4,"60,61,62,63","0,10,20,30",3,3,19.133733333333335,19.133733333333335,1.0,18.182,18.182,1.0,52.7243,52.7243,54.9996,54.9996,local,4,"60,61,62,63",,0,0.0,48.91789,0.9999999591151622
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",3,0,17.056916666666666,,,23.0515,,,143.69616666666667,,43.381,,edge_end,3,"62,63,65","60,61,64",11,0.9,38.515019,4.182825224622114
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",3,3,25.228866666666665,22.953266666666664,0.9098017350495332,24.8599,22.5555,0.9073045346119654,39.7267,43.826699999999995,40.2254,44.3351,local,5,"60,61,62,63,64",65,14,0.3,37.452892,2.176192054808478
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",3,3,24.986266666666666,14.052266666666668,0.5623996115199283,25.6071,20.8134,0.8127980130510679,40.11756666666667,2055.641133333333,39.0516,48.0461,local,4,"60,61,62,63","64,65",14,0.9,37.38389,10.579452298837815
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",3,3,25.953599999999998,25.185933333333335,0.9704215728582292,25.2776,25.1841,0.9963010728866665,38.6276,39.707033333333335,39.5607,39.7077,local,5,"60,61,62,63,65",64,14,0.3,37.492242,1.0389425364319371
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",3,0,28.777366666666666,,,28.0908,,,34.80623333333333,,35.5989,,edge_end,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,2.4227970053763
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",3,3,31.231866666666665,25.201833333333337,0.8069268994488537,32.1434,25.7346,0.8006184784434752,32.0826,39.7222,31.1106,38.8583,local,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,1.397283444212634
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",3,3,19.058978666666665,23.644266666666667,1.2405841404303304,28.2401,23.7564,0.8412293157602132,1346.5107333333333,42.34146666666666,35.4106,42.0939,local,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,3.8918693262244255
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",3,3,21.116936666666664,14.316867333333334,0.6779803131167543,26.3188,20.3892,0.7747009742085506,94.44323333333334,2082.4868333333334,37.9957,49.0455,local,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,1.311716968176048
