row_id,split,source,name,cpus,load_vector,Q_pct,latency_ms
0,train,single,single_cpu60_load0,60,60:0,100,156.46
1,test,single,single_cpu61_load0,61,61:0,100,154.435
2,test,single,single_cpu62_load0,62,62:0,100,153.903
3,train,single,single_cpu63_load0,63,63:0,100,157.986
4,train,single,single_cpu64_load0,64,64:0,100,155.919
5,train,single,single_cpu65_load0,65,65:0,100,153.841
6,train,single,single_cpu66_load0,66,66:0,100,156.634
7,train,single,single_cpu67_load0,67,67:0,100,160.93
8,train,single,single_cpu60_load10,60,60:10,100,157.847
9,train,single,single_cpu61_load10,61,61:10,100,157.009
10,train,single,single_cpu62_load10,62,62:10,100,160.564
11,train,single,single_cpu63_load10,63,63:10,100,162.236
12,train,single,single_cpu64_load10,64,64:10,100,160.211
13,train,single,single_cpu65_load10,65,65:10,100,157.595
14,train,single,single_cpu66_load10,66,66:10,100,153.66
15,train,single,single_cpu67_load10,67,67:10,100,158.737
16,train,single,single_cpu60_load20,60,60:20,100,163.278
17,train,single,single_cpu61_load20,61,61:20,100,158.489
18,train,single,single_cpu62_load20,62,62:20,100,162.009
19,train,single,single_cpu63_load20,63,63:20,100,161.95
20,test,single,single_cpu64_load20,64,64:20,100,165.503
21,train,single,single_cpu65_load20,65,65:20,100,166.035
22,test,single,single_cpu66_load20,66,66:20,100,159.407
23,train,single,single_cpu67_load20,67,67:20,100,161.555
24,test,single,single_cpu60_load30,60,60:30,100,158.002
25,train,single,single_cpu61_load30,61,61:30,100,162.577
26,train,single,single_cpu62_load30,62,62:30,100,160.899
27,train,single,single_cpu63_load30,63,63:30,100,160.201
28,train,single,single_cpu64_load30,64,64:30,100,160.857
29,train,single,single_cpu65_load30,65,65:30,100,161.116
30,test,single,single_cpu66_load30,66,66:30,100,155.697
31,train,single,single_cpu67_load30,67,67:30,100,161.141
32,test,single,single_cpu60_load40,60,60:40,100,159.909
33,test,single,single_cpu61_load40,61,61:40,100,158.415
34,train,single,single_cpu62_load40,62,62:40,100,162.503
35,test,single,single_cpu63_load40,63,63:40,100,160.069
36,test,single,single_cpu64_load40,64,64:40,100,161.878
37,train,single,single_cpu65_load40,65,65:40,100,163.407
38,test,single,single_cpu66_load40,66,66:40,100,157.766
39,train,single,single_cpu67_load40,67,67:40,100,160.811
40,test,single,single_cpu60_load50,60,60:50,100,155.464
41,train,single,single_cpu61_load50,61,61:50,100,158.182
42,train,single,single_cpu62_load50,62,62:50,100,160.163
43,train,single,single_cpu63_load50,63,63:50,100,159.089
44,test,single,single_cpu64_load50,64,64:50,100,159.918
45,train,single,single_cpu65_load50,65,65:50,100,153.673
46,test,single,single_cpu66_load50,66,66:50,100,156.118
47,train,single,single_cpu67_load50,67,67:50,100,160.263
48,train,single,single_cpu60_load60,60,60:60,100,162.276
49,train,single,single_cpu61_load60,61,61:60,100,163.074
50,train,single,single_cpu62_load60,62,62:60,100,159.216
51,test,single,single_cpu63_load60,63,63:60,100,163.555
