sample_id,source,Q_pct,q_cpu60,q_cpu61,q_cpu62,q_cpu63,q_cpu64,q_cpu65,q_cpu66,q_cpu67,load_vector
0,lhs,0,0,0,10,60,50,90,10,90,"60:0,61:0,62:10,63:60,64:50,65:90,66:10,67:90"
1,lhs,0,0,0,20,70,90,40,60,60,"60:0,61:0,62:20,63:70,64:90,65:40,66:60,67:60"
2,lhs,0,0,10,0,0,100,60,50,0,"60:0,61:10,62:0,63:0,64:100,65:60,66:50,67:0"
3,lhs,0,0,10,30,20,40,30,0,100,"60:0,61:10,62:30,63:20,64:40,65:30,66:0,67:100"
4,lhs,0,0,10,30,100,60,20,60,50,"60:0,61:10,62:30,63:100,64:60,65:20,66:60,67:50"
5,lhs,0,0,10,50,10,0,20,30,100,"60:0,61:10,62:50,63:10,64:0,65:20,66:30,67:100"
6,lhs,0,0,10,50,70,100,10,80,20,"60:0,61:10,62:50,63:70,64:100,65:10,66:80,67:20"
7,lhs,0,0,10,80,40,50,30,100,60,"60:0,61:10,62:80,63:40,64:50,65:30,66:100,67:60"
8,lhs,0,0,10,80,100,100,30,60,30,"60:0,61:10,62:80,63:100,64:100,65:30,66:60,67:30"
9,lhs,0,0,10,90,60,70,30,70,90,"60:0,61:10,62:90,63:60,64:70,65:30,66:70,67:90"
10,lhs,0,0,20,10,70,0,90,50,60,"60:0,61:20,62:10,63:70,64:0,65:90,66:50,67:60"
11,lhs,0,0,20,30,100,50,100,70,40,"60:0,61:20,62:30,63:100,64:50,65:100,66:70,67:40"
12,lhs,0,0,20,70,40,50,20,90,40,"60:0,61:20,62:70,63:40,64:50,65:20,66:90,67:40"
13,lhs,0,0,30,90,10,80,80,70,10,"60:0,61:30,62:90,63:10,64:80,65:80,66:70,67:10"
14,lhs,0,0,40,30,10,40,80,70,50,"60:0,61:40,62:30,63:10,64:40,65:80,66:70,67:50"
15,lhs,0,0,40,80,40,40,80,60,20,"60:0,61:40,62:80,63:40,64:40,65:80,66:60,67:20"
16,lhs,0,0,50,10,0,60,70,30,60,"60:0,61:50,62:10,63:0,64:60,65:70,66:30,67:60"
17,lhs,0,0,50,20,40,70,10,30,10,"60:0,61:50,62:20,63:40,64:70,65:10,66:30,67:10"
18,lhs,0,0,50,40,50,70,60,70,100,"60:0,61:50,62:40,63:50,64:70,65:60,66:70,67:100"
19,lhs,0,0,50,60,100,10,90,30,60,"60:0,61:50,62:60,63:100,64:10,65:90,66:30,67:60"
20,lhs,0,0,60,20,100,40,20,20,100,"60:0,61:60,62:20,63:100,64:40,65:20,66:20,67:100"
21,lhs,0,0,60,70,50,70,30,20,40,"60:0,61:60,62:70,63:50,64:70,65:30,66:20,67:40"
22,lhs,0,0,60,70,90,50,60,70,70,"60:0,61:60,62:70,63:90,64:50,65:60,66:70,67:70"
23,lhs,0,0,60,100,100,20,80,0,60,"60:0,61:60,62:100,63:100,64:20,65:80,66:0,67:60"
24,lhs,0,0,70,0,10,40,50,10,20,"60:0,61:70,62:0,63:10,64:40,65:50,66:10,67:20"
25,lhs,0,0,70,10,30,100,70,100,30,"60:0,61:70,62:10,63:30,64:100,65:70,66:100,67:30"
26,lhs,0,0,70,30,100,90,20,40,20,"60:0,61:70,62:30,63:100,64:90,65:20,66:40,67:20"
27,lhs,0,0,70,50,80,100,80,60,0,"60:0,61:70,62:50,63:80,64:100,65:80,66:60,67:0"
28,lhs,0,0,70,60,20,30,50,40,100,"60:0,61:70,62:60,63:20,64:30,65:50,66:40,67:100"
29,lhs,0,0,70,70,0,50,10,10,0,"60:0,61:70,62:70,63:0,64:50,65:10,66:10,67:0"
30,lhs,0,0,70,70,70,20,10,100,0,"60:0,61:70,62:70,63:70,64:20,65:10,66:100,67:0"
31,lhs,0,0,80,0,70,80,20,50,100,"60:0,61:80,62:0,63:70,64:80,65:20,66:50,67:100"
32,lhs,0,0,80,10,90,40,90,70,20,"60:0,61:80,62:10,63:90,64:40,65:90,66:70,67:20"
33,lhs,0,0,80,20,30,100,40,70,90,"60:0,61:80,62:20,63:30,64:100,65:40,66:70,67:90"
34,lhs,0,0,80,20,50,20,100,70,0,"60:0,61:80,62:20,63:50,64:20,65:100,66:70,67:0"
35,lhs,0,0,80,30,10,40,70,70,100,"60:0,61:80,62:30,63:10,64:40,65:70,66:70,67:100"
36,lhs,0,0,80,30,30,20,80,10,40,"60:0,61:80,62:30,63:30,64:20,65:80,66:10,67:40"
37,lhs,0,0,80,60,100,90,30,80,10,"60:0,61:80,62:60,63:100,64:90,65:30,66:80,67:10"
38,lhs,0,0,80,100,20,100,90,20,90,"60:0,61:80,62:100,63:20,64:100,65:90,66:20,67:90"
39,lhs,0,0,90,20,30,30,80,40,70,"60:0,61:90,62:20,63:30,64:30,65:80,66:40,67:70"
40,lhs,0,0,90,30,80,90,60,20,60,"60:0,61:90,62:30,63:80,64:90,65:60,66:20,67:60"
41,lhs,0,0,90,30,100,70,90,70,70,"60:0,61:90,62:30,63:100,64:70,65:90,66:70,67:70"
42,lhs,0,0,90,50,60,40,70,50,50,"60:0,61:90,62:50,63:60,64:40,65:70,66:50,67:50"
43,lhs,0,0,90,80,20,50,40,20,80,"60:0,61:90,62:80,63:20,64:50,65:40,66:20,67:80"
44,lhs,0,0,100,20,70,20,10,20,0,"60:0,61:100,62:20,63:70,64:20,65:10,66:20,67:0"
45,lhs,0,0,100,40,80,100,60,20,80,"60:0,61:100,62:40,63:80,64:100,65:60,66:20,67:80"
46,lhs,0,0,100,50,60,80,10,80,40,"60:0,61:100,62:50,63:60,64:80,65:10,66:80,67:40"
47,lhs,0,0,100,60,60,80,60,80,100,"60:0,61:100,62:60,63:60,64:80,65:60,66:80,67:100"
48,lhs,0,0,100,70,50,70,80,70,0,"60:0,61:100,62:70,63:50,64:70,65:80,66:70,67:0"
49,lhs,0,10,0,70,30,0,80,10,50,"60:10,61:0,62:70,63:30,64:0,65:80,66:10,67:50"
50,lhs,0,10,10,60,20,50,60,40,10,"60:10,61:10,62:60,63:20,64:50,65:60,66:40,67:10"
51,lhs,0,10,10,90,0,90,0,60,50,"60:10,61:10,62:90,63:0,64:90,65:0,66:60,67:50"
52,lhs,0,10,10,100,10,40,10,0,20,"60:10,61:10,62:100,63:10,64:40,65:10,66:0,67:20"
53,lhs,0,10,20,0,10,90,0,70,20,"60:10,61:20,62:0,63:10,64:90,65:0,66:70,67:20"
54,lhs,0,10,30,10,60,50,100,40,0,"60:10,61:30,62:10,63:60,64:50,65:100,66:40,67:0"
55,lhs,0,10,30,30,100,60,70,60,20,"60:10,61:30,62:30,63:100,64:60,65:70,66:60,67:20"
56,lhs,0,10,30,80,20,100,30,100,100,"60:10,61:30,62:80,63:20,64:100,65:30,66:100,67:100"
57,lhs,0,10,30,90,20,90,20,70,0,"60:10,61:30,62:90,63:20,64:90,65:20,66:70,67:0"
58,lhs,0,10,40,30,0,30,100,100,20,"60:10,61:40,62:30,63:0,64:30,65:100,66:100,67:20"
59,lhs,0,10,40,80,40,100,40,100,70,"60:10,61:40,62:80,63:40,64:100,65:40,66:100,67:70"
60,lhs,0,10,50,30,30,30,70,100,40,"60:10,61:50,62:30,63:30,64:30,65:70,66:100,67:40"
61,lhs,0,10,50,40,40,70,70,20,90,"60:10,61:50,62:40,63:40,64:70,65:70,66:20,67:90"
62,lhs,0,10,50,50,10,80,40,40,20,"60:10,61:50,62:50,63:10,64:80,65:40,66:40,67:20"
63,lhs,0,10,50,70,50,50,40,50,50,"60:10,61:50,62:70,63:50,64:50,65:40,66:50,67:50"
64,lhs,0,10,50,80,50,60,10,70,70,"60:10,61:50,62:80,63:50,64:60,65:10,66:70,67:70"
65,lhs,0,10,50,90,10,90,10,90,30,"60:10,61:50,62:90,63:10,64:90,65:10,66:90,67:30"
66,lhs,0,10,60,10,60,100,70,70,40,"60:10,61:60,62:10,63:60,64:100,65:70,66:70,67:40"
67,lhs,0,10,60,20,60,100,50,40,70,"60:10,61:60,62:20,63:60,64:100,65:50,66:40,67:70"
68,lhs,0,10,60,40,30,40,30,60,100,"60:10,61:60,62:40,63:30,64:40,65:30,66:60,67:100"
69,lhs,0,10,70,40,60,50,80,30,30,"60:10,61:70,62:40,63:60,64:50,65:80,66:30,67:30"
70,lhs,0,10,70,100,0,20,20,100,10,"60:10,61:70,62:100,63:0,64:20,65:20,66:100,67:10"
71,lhs,0,10,70,100,40,80,40,20,0,"60:10,61:70,62:100,63:40,64:80,65:40,66:20,67:0"
72,lhs,0,10,80,0,40,20,50,80,10,"60:10,61:80,62:0,63:40,64:20,65:50,66:80,67:10"
73,lhs,0,10,80,50,10,50,40,40,100,"60:10,61:80,62:50,63:10,64:50,65:40,66:40,67:100"
74,lhs,0,10,80,60,60,90,30,50,80,"60:10,61:80,62:60,63:60,64:90,65:30,66:50,67:80"
75,lhs,0,10,80,90,40,50,100,80,100,"60:10,61:80,62:90,63:40,64:50,65:100,66:80,67:100"
76,lhs,0,10,80,100,100,80,80,20,20,"60:10,61:80,62:100,63:100,64:80,65:80,66:20,67:20"
77,lhs,0,10,90,20,50,80,30,10,0,"60:10,61:90,62:20,63:50,64:80,65:30,66:10,67:0"
78,lhs,0,10,90,30,50,20,60,60,50,"60:10,61:90,62:30,63:50,64:20,65:60,66:60,67:50"
79,lhs,0,10,90,70,80,50,0,60,20,"60:10,61:90,62:70,63:80,64:50,65:0,66:60,67:20"
80,lhs,0,10,90,80,30,90,30,10,70,"60:10,61:90,62:80,63:30,64:90,65:30,66:10,67:70"
81,lhs,0,10,90,80,70,30,40,60,70,"60:10,61:90,62:80,63:70,64:30,65:40,66:60,67:70"
82,lhs,0,10,100,60,50,0,10,30,20,"60:10,61:100,62:60,63:50,64:0,65:10,66:30,67:20"
83,lhs,0,20,0,0,100,90,0,100,30,"60:20,61:0,62:0,63:100,64:90,65:0,66:100,67:30"
84,lhs,0,20,0,30,20,90,100,20,70,"60:20,61:0,62:30,63:20,64:90,65:100,66:20,67:70"
85,lhs,0,20,10,0,80,0,90,60,40,"60:20,61:10,62:0,63:80,64:0,65:90,66:60,67:40"
86,lhs,0,20,10,10,90,10,20,50,70,"60:20,61:10,62:10,63:90,64:10,65:20,66:50,67:70"
87,lhs,0,20,10,20,20,40,50,60,10,"60:20,61:10,62:20,63:20,64:40,65:50,66:60,67:10"
88,lhs,0,20,10,40,10,30,60,70,80,"60:20,61:10,62:40,63:10,64:30,65:60,66:70,67:80"
89,lhs,0,20,10,60,0,40,90,90,90,"60:20,61:10,62:60,63:0,64:40,65:90,66:90,67:90"
90,lhs,0,20,10,60,40,50,30,10,0,"60:20,61:10,62:60,63:40,64:50,65:30,66:10,67:0"
91,lhs,0,20,10,80,20,10,20,90,0,"60:20,61:10,62:80,63:20,64:10,65:20,66:90,67:0"
92,lhs,0,20,20,20,100,50,40,0,40,"60:20,61:20,62:20,63:100,64:50,65:40,66:0,67:40"
93,lhs,0,20,20,50,70,90,20,100,10,"60:20,61:20,62:50,63:70,64:90,65:20,66:100,67:10"
94,lhs,0,20,30,20,0,100,50,100,40,"60:20,61:30,62:20,63:0,64:100,65:50,66:100,67:40"
95,lhs,0,20,30,60,60,100,20,0,50,"60:20,61:30,62:60,63:60,64:100,65:20,66:0,67:50"
96,lhs,0,20,30,70,60,100,0,60,20,"60:20,61:30,62:70,63:60,64:100,65:0,66:60,67:20"
97,lhs,0,20,30,90,30,0,90,100,30,"60:20,61:30,62:90,63:30,64:0,65:90,66:100,67:30"
98,lhs,0,20,30,90,40,50,30,50,0,"60:20,61:30,62:90,63:40,64:50,65:30,66:50,67:0"
99,lhs,0,20,30,100,80,40,90,0,100,"60:20,61:30,62:100,63:80,64:40,65:90,66:0,67:100"
100,lhs,0,20,30,100,90,70,10,20,0,"60:20,61:30,62:100,63:90,64:70,65:10,66:20,67:0"
101,lhs,0,20,40,10,90,20,60,50,90,"60:20,61:40,62:10,63:90,64:20,65:60,66:50,67:90"
102,lhs,0,20,40,10,90,30,100,90,70,"60:20,61:40,62:10,63:90,64:30,65:100,66:90,67:70"
103,lhs,0,20,50,0,70,10,40,100,70,"60:20,61:50,62:0,63:70,64:10,65:40,66:100,67:70"
104,lhs,0,20,50,0,100,20,70,20,90,"60:20,61:50,62:0,63:100,64:20,65:70,66:20,67:90"
105,lhs,0,20,50,10,40,50,0,90,0,"60:20,61:50,62:10,63:40,64:50,65:0,66:90,67:0"
106,lhs,0,20,50,10,50,60,0,20,50,"60:20,61:50,62:10,63:50,64:60,65:0,66:20,67:50"
107,lhs,0,20,50,70,50,20,90,70,50,"60:20,61:50,62:70,63:50,64:20,65:90,66:70,67:50"
108,lhs,0,20,50,80,80,100,80,30,30,"60:20,61:50,62:80,63:80,64:100,65:80,66:30,67:30"
109,lhs,0,20,60,0,30,80,0,30,0,"60:20,61:60,62:0,63:30,64:80,65:0,66:30,67:0"
110,lhs,0,20,60,80,10,60,60,50,20,"60:20,61:60,62:80,63:10,64:60,65:60,66:50,67:20"
111,lhs,0,20,70,40,30,40,70,20,10,"60:20,61:70,62:40,63:30,64:40,65:70,66:20,67:10"
112,lhs,0,20,80,40,20,90,40,20,50,"60:20,61:80,62:40,63:20,64:90,65:40,66:20,67:50"
113,lhs,0,20,80,90,0,70,50,40,30,"60:20,61:80,62:90,63:0,64:70,65:50,66:40,67:30"
114,lhs,0,20,90,0,10,0,60,40,40,"60:20,61:90,62:0,63:10,64:0,65:60,66:40,67:40"
115,lhs,0,20,90,20,90,20,0,10,0,"60:20,61:90,62:20,63:90,64:20,65:0,66:10,67:0"
116,lhs,0,20,90,100,50,100,20,70,50,"60:20,61:90,62:100,63:50,64:100,65:20,66:70,67:50"
117,lhs,0,20,100,10,90,20,80,20,20,"60:20,61:100,62:10,63:90,64:20,65:80,66:20,67:20"
118,lhs,0,20,100,20,70,40,30,100,70,"60:20,61:100,62:20,63:70,64:40,65:30,66:100,67:70"
119,lhs,0,20,100,40,90,50,30,20,0,"60:20,61:100,62:40,63:90,64:50,65:30,66:20,67:0"
