scenario,status,feasible,mode,p,major_cpus,minor_cpus,split_m,offloaded_layers,clipped_layers,max_rate,loss,main_ms,total_ms,full_local_ms,local_deadline_ms,request_deadline_ms
load_0,ok,True,local,7,"60,61,62,63,64,65,66",67,27,0,14,0.2,0.40025,31.879717,31.879717,32.0358,32.0358,32.996874
load_10,ok,True,local,7,"60,61,62,63,65,66,67",64,27,0,14,0.5,2.5178,31.871195,31.871195,35.3874,32.0358,32.996874
load_20,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.6,4.2146,31.855594,31.855594,40.4118,32.0358,32.996874
load_30,ok,False,none,,,,,0,0,0.0,inf,inf,inf,69.6333,32.0358,32.996874
load_40,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.9,8.77915,31.894201,31.894201,51.700301,32.0358,32.996874
load_50,ok,True,local,7,"61,62,63,64,65,66,67",60,27,0,14,0.8,8.40035,31.959007,31.959007,31.8804,32.0358,32.996874
load_60,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.5,2.8958,31.942887,31.942887,35.1541,32.0358,32.996874
load_70,ok,True,local,8,"60,61,62,63,64,65,66,67",,27,0,0,0.0,0.0,31.782996,31.782996,31.783,32.0358,32.996874
load_80,ok,True,local,7,"61,62,63,64,65,66,67",60,27,0,14,0.9,11.41265,31.881426,31.881426,32.4744,32.0358,32.996874
load_90,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.4,1.6664,31.8099,31.8099,32.3058,32.0358,32.996874
load_100,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.6,4.2146,31.887766,31.887766,37.0624,32.0358,32.996874
