load_pct,policy,runs,tok_s_mean,decode_ms_mean,speedup_vs_baseline_no_svd
0,baseline_no_svd,2,28.59595,34.9835,1.0
0,model_schedule,0,,,
20,baseline_no_svd,1,30.8666,32.3975,1.0
20,model_schedule,0,,,
40,baseline_no_svd,1,30.3722,32.9248,1.0
40,model_schedule,0,,,
50,baseline_no_svd,0,,,
50,model_schedule,1,25.0492,39.9214,
80,baseline_no_svd,1,24.5519,40.73,1.0
80,model_schedule,2,16.4309,61.414899999999996,0.669231301854439
100,baseline_no_svd,2,23.6271,42.348600000000005,1.0
100,model_schedule,0,,,
