load,policy,timeout_budget_ms,ppl,ppl_stderr,eval_tok_s
0,baseline_no_svd,,15.1424,4.47405,32.65
0,scheduled_timeout,0,69.694,24.01162,34.22
0,scheduled_timeout,2,69.694,24.01162,33.9
0,scheduled_timeout,4,69.694,24.01162,33.93
0,scheduled_timeout,8,69.694,24.01162,34.0
0,scheduled_timeout,16,69.694,24.01162,33.92
20,baseline_no_svd,,15.1424,4.47405,21.5
20,scheduled_timeout,0,69.694,24.01162,21.4
20,scheduled_timeout,2,82.9594,28.79145,21.79
20,scheduled_timeout,4,69.8059,24.09155,21.78
20,scheduled_timeout,8,69.4637,23.97134,22.07
20,scheduled_timeout,16,69.3648,23.88203,20.91
50,scheduled_timeout,0,69.694,24.01162,9.09
