scenario,n_cores,cpus,loads,calibration_baseline_tok_s,calibration_best_policy,calibration_best_tok_s,calibration_best_speedup,selected_policy,validation_baseline_tok_s,validation_scheduler_tok_s,validation_speedup
4c_ramp_light,4,"60,61,62,63","0,10,20,30",4.66301,trunc_even_0.9,28.1056,6.027351431800489,trunc_even_0.8,21.9912,24.7569,1.1257639419404126
4c_mixed,4,"60,61,62,63","0,30,60,90",20.1829,trunc_even_0.9,28.0523,1.3899043249483474,trunc_even_0.8,20.3972,22.7851,1.1170699899986272
4c_front_hot,4,"60,61,62,63","90,70,20,0",20.2837,trunc_even_0.9,28.227,1.391610011980063,edge_end,22.381,,
4c_high,4,"60,61,62,63","70,80,90,100",19.6783,trunc_even_0.9,28.5721,1.4519597729478664,trunc_even_0.8,22.3923,24.7394,1.1048172809403234
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",28.2892,trunc_even_0.9,37.119,1.3121261824300439,trunc_even_0.8,28.625,30.2723,1.0575475982532752
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",23.2358,trunc_even_0.9,36.8745,1.5869692457328775,edge_end,22.7833,,
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",0.16743,trunc_even_0.6,26.2858,156.99575942184794,edge_end,0.611734,,
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",22.2101,trunc_even_0.9,35.1107,1.5808438503203497,trunc_even_0.8,26.9652,32.0537,1.1887061842671294
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",32.6242,baseline_no_svd,32.6242,1.0,edge_end,0.451827,,
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",27.3084,trunc_even_0.6,34.619,1.2677051749644799,edge_end,26.9658,,
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",30.6481,trunc_even_0.9,38.9271,1.2701309379700538,edge_end,27.4939,,
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",30.4686,trunc_even_0.9,35.0496,1.1503515094228156,trunc_even_0.8,31.1771,34.1742,1.0961314554592954
