scenario,n_cores,cpus,loads,calibration_baseline_tok_s,calibration_best_policy,calibration_best_tok_s,calibration_best_speedup,selected_policy,validation_baseline_tok_s,validation_scheduler_tok_s,validation_speedup
4c_ramp_light,4,"60,61,62,63","0,10,20,30",19.9943,trunc_even_0.9,28.2059,1.410697048658868,trunc_even_0.9,22.0872,28.0986,1.2721666847767032
4c_mixed,4,"60,61,62,63","0,30,60,90",22.067549999999997,trunc_even_0.9,27.99315,1.2685209731030407,trunc_even_0.9,22.1838,28.3361,1.2773330087721668
4c_front_hot,4,"60,61,62,63","90,70,20,0",20.99005,trunc_even_0.8,23.3429,1.1120935871996493,trunc_even_0.8,20.5616,2.69536,0.13108707493580268
4c_high,4,"60,61,62,63","70,80,90,100",19.426650000000002,trunc_even_0.9,27.334049999999998,1.4070387843503638,trunc_even_0.9,22.181,28.342,1.277760245254948
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",28.5261,trunc_even_0.9,37.1019,1.3006299494147466,trunc_even_0.9,28.648,34.2679,1.1961707623568836
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",25.267400000000002,trunc_even_0.8,27.77865,1.0993869571067856,baseline_no_svd,24.5812,23.9103,0.9727067840463444
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",13.709555,trunc_even_0.6,29.7556,2.170427851232225,trunc_even_0.6,22.3419,0.190691,0.00853512906243426
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",28.6452,trunc_even_0.9,36.89905,1.2881407705304904,trunc_even_0.9,26.3065,37.1623,1.4126660711231065
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",16.046373499999998,trunc_even_0.6,30.18605,1.8811758307881843,trunc_even_0.6,4.41521,2.40412,0.5445086417180609
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",14.718946,trunc_even_0.8,30.8091,2.093159387907259,trunc_even_0.8,30.0543,27.1752,0.9042033918607321
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",25.9946,trunc_even_0.8,32.48125,1.2495383656605605,trunc_even_0.8,28.3289,30.4723,1.0756612505250822
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",26.849,trunc_even_0.9,36.8603,1.3728742225036314,trunc_even_0.9,31.3595,41.591,1.3262647682520448
